Intent,Entity,Response
Disaster Awareness,pandemic,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,heatwave,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,earthquake,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,cut,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,pandemic,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,earthquake,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,sprain,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,tornado,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,evacuation,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,cut,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,shock,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,wildfire,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,mental_health,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,shock,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,shock,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,fracture,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,volcano,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,volcano,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,evacuation,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,heatwave,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,pandemic,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,flood,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,fracture,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,wildfire,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,bleeding,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,shelter,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,mental_health,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,earthquake,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,shock,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,fracture,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,pandemic,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,evacuation,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,flood,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,wildfire,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,shock,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,heatwave,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,fracture,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,evacuation,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,wildfire,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,earthquake,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,shock,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,evacuation,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,drowning,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,hurricane,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,shock,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,pandemic,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,hurricane,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,tornado,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,heatwave,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,earthquake,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,food_and_water,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,tornado,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,wildfire,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,fracture,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,evacuation,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,burn,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,food_and_water,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,wildfire,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,earthquake,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,burn,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,shock,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,volcano,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,shock,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,shock,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,evacuation,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,tornado,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,evacuation,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,mental_health,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,flood,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,wildfire,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,mental_health,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,hurricane,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,flood,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,hurricane,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,pandemic,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,flood,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,food_and_water,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,flood,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,flood,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,evacuation,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,drowning,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,shock,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,fracture,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,sprain,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,sprain,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,tornado,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,fracture,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,mental_health,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,pandemic,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,flood,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,mental_health,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,shock,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,sprain,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,heatwave,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,bleeding,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,food_and_water,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,cut,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,food_and_water,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,pandemic,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,tornado,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,sprain,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,drowning,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,mental_health,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,evacuation,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,wildfire,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,earthquake,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,shock,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,drowning,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,food_and_water,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,pandemic,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,wildfire,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,bleeding,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,evacuation,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,fracture,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,shock,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,burn,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,wildfire,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,pandemic,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,bleeding,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,cut,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,mental_health,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,bleeding,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,wildfire,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,bleeding,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,volcano,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,bleeding,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,shock,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,bleeding,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,pandemic,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,heatwave,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,pandemic,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,bleeding,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,pandemic,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,bleeding,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,volcano,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,burn,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,food_and_water,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,shock,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,cut,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,sprain,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,pandemic,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,sprain,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,food_and_water,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,flood,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,heatwave,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,earthquake,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,hurricane,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,hurricane,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,drowning,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,pandemic,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,shelter,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,shock,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,heatwave,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,drowning,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,drowning,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,shelter,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,volcano,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,volcano,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,food_and_water,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,burn,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,sprain,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,bleeding,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,bleeding,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,food_and_water,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,food_and_water,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,pandemic,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,mental_health,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,burn,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,hurricane,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,food_and_water,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,pandemic,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,volcano,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,drowning,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,hurricane,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,bleeding,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,sprain,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,volcano,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,food_and_water,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,cut,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,evacuation,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,evacuation,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,tornado,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,mental_health,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,heatwave,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,mental_health,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,mental_health,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,earthquake,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,food_and_water,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,hurricane,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,heatwave,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,wildfire,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,wildfire,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,wildfire,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,burn,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,volcano,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,food_and_water,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,shelter,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,shelter,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,earthquake,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,drowning,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,sprain,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,hurricane,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,volcano,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,cut,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,shelter,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,volcano,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,earthquake,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,tornado,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,burn,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,fracture,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,hurricane,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,wildfire,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,cut,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,wildfire,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,burn,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,earthquake,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,pandemic,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,burn,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,pandemic,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,heatwave,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,food_and_water,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,volcano,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,sprain,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,bleeding,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,wildfire,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,sprain,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,fracture,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,pandemic,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,tornado,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,burn,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,burn,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,cut,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,flood,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
